FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Tremont Waters,Was,G,24.11,1,8.5,17.7,10.4,0,0,0,2,0.5,0,0,0.5,0.5,2,0,0,0,0,1,0,0,0,99.8,88.6
Trendon Watford,Por,F,21.28,33,12.6,26.3,15.1,16.6,35,0.686,94,0.649,11,0.091,0.595,0.619,4.5,3.2,13.9,1.1,12.6,0.33,0.45,0.73,8,117.8,101.5
Trent Forrest,Uta,G,23.69,46,12.2,25.5,12.6,23.3,36,0.806,91,0.593,18,0.222,0.55,0.597,3.2,1.7,7.4,1.5,16.7,0.52,0.07,0.83,6.6,112.7,106.4
Trevelin Queen,Hou,G,20,8,8.6,17.9,22.9,18.8,3,1,7,0.714,22,0.364,0.586,0.61,4.6,1.8,11.2,0.4,7.1,0.63,0,0.88,6.9,103.6,109
Trevon Scott,Cle,F,25.23,2,5.7,11.9,23.2,0,0,0,5,0.6,1,0,0.5,0.5,3,1,9.5,0,0,0.5,0.5,0,0,107.2,88.7
Trevor Ariza,Lal,F,36.64,20,19.3,40.1,10,10.1,14,0.5,13,0.462,61,0.328,0.486,0.493,4,3.4,9.2,1.2,7.6,0.45,0.2,0.45,5.3,102.5,109.9
Trey Burke,Dal,G,29.27,32,10.8,22.5,25.9,10.5,17,0.941,102,0.471,69,0.333,0.482,0.507,5.7,0.9,4.4,1.4,22,0.31,0,0.66,7.1,101.1,102.9
Trey Lyles,Det,F,26.29,51,19.4,40.4,22.3,10.5,176,0.784,238,0.55,146,0.301,0.513,0.576,10.4,4.8,13.3,1.1,9.8,0.43,0.51,1.06,7.8,113.5,106.8
Trey Lyles,Sac,F,26.29,2,4.3,8.9,20.1,50,0,0,2,1,0,0,1,1,2,1.5,18.9,0,0,0,0,1,0,71.6,101.4
Trey Murphy III,Nor,F,21.67,41,12.7,26.4,14.4,7,28,0.857,41,0.341,107,0.336,0.459,0.499,3.9,2.1,9.4,0.5,5.4,0.29,0.15,0.29,5,108.9,109.1
Tristan Thompson,Ind,C-F,30.94,4,16.4,34.2,20.7,12.7,8,0.375,24,0.542,0,0,0.542,0.527,7.3,4.5,15.2,0.5,4.7,0,0.5,1,6.2,102.6,107.1
Tristan Thompson,Sac,C-F,30.94,30,15.2,31.6,19.4,14.1,60,0.533,150,0.5,1,1,0.507,0.521,6.2,5.4,19,0.6,5.9,0.37,0.4,0.97,7.2,108.9,104.7
Troy Brown Jr.,Chi,G-F,22.56,48,18.1,37.7,12.3,9.1,25,0.76,107,0.467,103,0.33,0.481,0.5,4.6,3.5,10.9,1.1,8.1,0.56,0.08,0.46,5.8,108,108.3
Ty Jerome,Okc,G-F,24.62,48,16.7,34.8,20.9,9.6,47,0.809,142,0.493,186,0.29,0.46,0.488,7.1,1.6,4.9,2.3,22,0.63,0.1,0.77,7.1,103.1,105.2
Tyler Cook,Chi,F,24.41,19,10.3,21.5,12.7,12.4,31,0.645,36,0.611,0,0,0.611,0.645,3.4,2.7,14.7,0.2,2,0.21,0.21,0.37,4.8,127.8,100.3
Tyler Hall,Nyk,G,24.9,1,1.9,4,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Tyler Herro,Mia,G,22.08,46,32.7,68.1,29.1,13,141,0.879,486,0.461,310,0.374,0.5,0.536,20,4.8,8.3,3.9,20.6,0.63,0.17,2.78,8.8,103.2,107.6
Tyler Johnson,Phi,G,29.78,3,12.7,26.5,13,9.1,0,0,3,0.333,7,0.429,0.55,0.55,3.7,2,8.7,0.7,7.4,0.33,0.33,0.33,5.4,108.9,102.7
Tyler Johnson,San,G,29.78,3,17.7,36.9,8.8,9.1,0,0,4,0,6,0.333,0.3,0.3,2,2,5.9,1.7,10.9,0.67,0.67,0.33,4.3,88.2,111
Tyrell Terry,Mem,G,21.39,2,1.6,3.2,13.3,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,
Tyrese Haliburton,Ind,G,21.97,4,38.9,81,21.9,17.7,16,0.813,27,0.519,31,0.452,0.603,0.638,20.8,4.3,6,11,42.9,2.25,0,3.5,10.2,124.9,111.5
Tyrese Haliburton,Sac,G,21.97,51,34.4,71.8,18.2,15.4,104,0.837,334,0.491,252,0.413,0.546,0.575,14.3,3.9,6.1,7.4,31.3,1.69,0.67,2.25,8.7,117.1,114.3
Tyrese Maxey,Phi,G,21.29,51,35.6,74.2,20.4,7.3,171,0.871,503,0.497,182,0.39,0.52,0.567,16.9,3.5,5.5,4.6,20.4,0.65,0.51,1.18,7.3,117.4,109.7
Tyus Jones,Mem,G,25.78,53,20.7,43.2,16.1,8.6,45,0.867,237,0.519,134,0.358,0.526,0.549,8.1,2.5,6.2,4.2,27.6,0.92,0.04,0.7,8.5,123.6,111.7
Udoka Azubuike,Uta,C-F,22.42,15,11.9,24.7,14.9,19.7,11,0.545,44,0.75,0,0,0.75,0.737,4.8,4.1,18.9,0,0,0.07,0.73,0.8,0,120.9,96.7
Udonis Haslem,Mia,F,41.69,9,6.3,13.1,20.5,11.4,3,1,20,0.5,2,0.5,0.523,0.557,2.9,2,17.8,0.3,8.6,0.11,0.11,0.33,7.6,109.9,86.6
Usman Garuba,Hou,F,19.95,15,7,14.5,11.3,10.8,2,0.5,11,0.545,13,0.154,0.375,0.382,1.3,2.3,17.8,0.5,10.5,0.47,0.4,0.2,6.5,99.2,106.3
Vernon Carey Jr.,Cha,F-C,20.98,4,4.2,8.8,20.8,12,3,0.667,6,0.5,0,0,0.5,0.546,2,1.3,15.4,0,0,0.25,0,0.25,0,113.1,109.6
Vernon Carey Jr.,Was,F-C,20.98,1,1.4,2.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Vit Krejci,Okc,G,21.67,6,5.2,10.9,12.3,22.5,2,1,2,1,4,0,0.333,0.436,1,0.8,8.1,0.3,9,0,0,0.33,4.8,79.4,107.7
Vlatko Cancar,Den,F,24.86,14,10.9,22.7,15.1,15.3,12,0.75,27,0.556,12,0.583,0.654,0.678,4.3,1.6,8.4,0.9,12.1,0.14,0.21,0.57,6.7,123.8,106.7
Wayne Ellington,Lal,G,34.22,35,18.9,39.3,13.2,7.4,5,0.8,17,0.471,169,0.385,0.567,0.571,6.1,1.7,4.8,0.7,4.9,0.54,0.09,0.43,4.1,109.8,111.3
Wayne Selden,Nyk,G,27.39,3,6.4,13.3,13.3,0,4,0.5,2,0,2,0.5,0.375,0.434,1.7,0.3,2.8,0.3,7.2,0,0,0,3.3,102.7,112.9
Wendell Carter Jr.,Orl,C-F,22.84,51,29.4,61.2,20.2,12.8,153,0.706,356,0.604,184,0.321,0.562,0.589,14,10.2,18.5,2.7,15.3,0.63,0.71,1.75,9.9,114.3,103.4
Wenyen Gabriel,Lac,F,24.9,6,7.7,16.1,16.8,16.9,4,0.5,8,0.375,5,0.4,0.462,0.474,2.3,2.3,15.9,0.3,6,0.17,0.33,0.5,6.1,97.5,85.5
Wenyen Gabriel,Bro,F,24.9,1,1.3,2.7,0,,0,0,0,0,0,0,,,0,1,41.4,0,0,0,0,0,0,,
Wes Iwundu,Atl,F,27.17,3,27.4,57.1,11,4.8,4,0.75,13,0.385,5,0.6,0.528,0.557,7.3,4.3,8.6,0,0,0.33,0,0.33,0,114.9,108.5
Wesley Matthews,Mil,G,35.35,30,19.2,40,11.1,7.4,10,0.6,36,0.583,97,0.34,0.53,0.535,4.9,1.8,5,0.7,4.6,0.43,0.17,0.37,3.8,109.8,105.3
Will Barton,Den,G,31.12,51,32.3,67.4,21.3,12,88,0.784,356,0.508,308,0.37,0.53,0.55,15.2,5,8.5,3.9,18.1,0.84,0.51,1.88,8.3,107.1,109.5
Willie Cauley-Stein,Dal,C,28.51,18,9.8,20.5,10.9,16.3,2,0.5,33,0.455,2,0.5,0.471,0.474,1.9,2.1,11.8,0.5,7.1,0.33,0.17,0.39,5.1,102.3,99.8
Willy Hernangomez,Nor,C-F,27.73,30,16.8,35,22.6,11.4,83,0.747,190,0.537,7,0.429,0.541,0.589,9.2,7.1,23.3,1.3,13.2,0.37,0.33,1,10.5,122.6,100.7
Xavier Moon,Lac,G,27.13,6,13.9,29,20.1,7.8,3,0.667,24,0.458,10,0.3,0.456,0.467,5.5,1.5,5.7,1.7,18.2,0.83,0.17,0.5,6.9,98.7,107.6
Xavier Sneed,Mem,F,20,2,3.9,8,10.7,0,0,0,0,0,2,0,0,0,0,1,13.6,0,0,0,0,0,0,,
Xavier Tillman,Mem,F,23.1,39,13.1,27.2,16.2,13,48,0.646,118,0.525,35,0.2,0.474,0.505,4.5,3,11.9,1,10.4,1.05,0.36,0.67,7.3,108.3,100.5
Yuta Watanabe,Tor,G-F,27.35,25,14.6,30.3,15.9,11.8,30,0.567,47,0.447,59,0.356,0.495,0.512,4.9,2.9,10.7,0.6,5.8,0.28,0.48,0.64,5.6,102.9,104.8
Yves Pons,Mem,F,22.79,7,3.2,6.6,7.2,0,2,0,2,0,1,1,0.5,0.387,0.4,0.7,11.7,0,0,0,0,0,0,,
Zach Collins,San,F-C,24.25,5,16.4,34.1,19,21.8,4,0.5,20,0.45,7,0.429,0.5,0.504,5.8,5.2,16.6,2.2,17.9,0.8,0.4,1.6,9.9,99,97.4
Zach LaVine,Chi,G-F,26.95,47,34.6,72,29.3,11.9,229,0.869,515,0.536,338,0.399,0.561,0.606,24.6,4.9,7.8,4.5,20.8,0.62,0.38,2.74,9.4,113.5,111
Zeke Nnaji,Den,F-C,21.11,39,16.7,34.8,15.2,9.4,62,0.613,100,0.58,76,0.487,0.645,0.652,6.8,3.7,12.3,0.4,3.3,0.31,0.33,0.54,5.2,127.1,102.1
Ziaire Williams,Mem,F,20.44,40,21.5,44.8,14.1,7.8,25,0.76,113,0.646,148,0.284,0.521,0.535,7.3,1.8,4.3,0.9,5.4,0.55,0.18,0.58,4.2,108.2,106.3
Zylan Cheatham,Uta,F,26.26,1,5.2,10.8,25.1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,118.5
