FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Austin Rivers,Den,G,29.55,44,21,43.7,13.6,13.3,27,0.704,82,0.537,153,0.346,0.526,0.539,6,1.7,4.5,1.1,7.3,0.73,0.09,0.86,4.3,100.8,107.8
Avery Bradley,Lal,G,31.23,49,23.8,49.5,12.5,9.8,14,0.857,123,0.455,176,0.381,0.523,0.533,6.6,2.3,5.1,0.8,4.7,0.94,0.18,0.67,3.9,103.4,107.8
Ayo Dosunmu,Chi,G,22.09,54,25.9,54,13.4,15.5,62,0.677,210,0.59,123,0.407,0.598,0.611,8.1,2.8,6,3.1,15.8,0.7,0.37,1.22,6.4,115.7,107.3
Bam Adebayo,Mia,C-F,24.59,34,33.4,69.5,25.3,15.3,201,0.751,456,0.529,4,0,0.524,0.577,18.6,10.2,17.2,3.5,17.6,1.5,0.71,2.91,10.4,112.2,97.4
Ben McLemore,Por,G,29.02,42,18.8,39.1,20.3,7.3,37,0.784,68,0.485,257,0.374,0.545,0.561,9.1,1.6,4.6,0.9,7,0.43,0.12,0.64,5,108.8,111.9
Bismack Biyombo,Pho,C,29.48,17,18.1,37.7,18.4,9.9,51,0.529,96,0.615,0,0,0.615,0.612,8.5,6.4,18.6,0.8,6.4,0.53,0.82,0.76,7.8,127.4,94.6
BJ Johnson,Orl,F,26.16,4,16.2,33.6,16.8,0,0,0,15,0.467,10,0.4,0.52,0.52,6.5,3.8,12.4,0,0,0,0.25,0,0,113.2,112
Blake Griffin,Bro,F,32.93,48,18.2,37.9,16.9,7.3,70,0.729,157,0.567,129,0.24,0.474,0.508,6.7,4.4,12.9,2,15.2,0.54,0.27,0.52,8.6,115.1,104.2
Boban Marjanovic,Dal,C,33.51,17,5.8,12,34.4,14.7,16,0.5,54,0.648,3,0.333,0.64,0.632,4.8,1.8,16.8,0.1,4.6,0,0.12,0.65,6.6,101.6,87.3
Bobby Portis,Mil,F,27.02,51,28.8,60,22,9.8,94,0.755,396,0.53,241,0.402,0.558,0.576,15.3,9.1,16.7,1.3,7,0.76,0.8,1.45,7.9,114.8,101.5
Bogdan Bogdanovic,Atl,G,29.5,40,28.7,59.9,19.6,8.4,54,0.815,184,0.516,264,0.375,0.544,0.563,13.3,3.9,7.3,3,15.2,0.98,0.18,1.08,7.5,113.3,109.9
Bojan Bogdanovic,Uta,F,32.84,56,31,64.5,23.5,10.3,208,0.87,387,0.525,361,0.38,0.546,0.594,17.8,4.4,7.7,1.7,8.5,0.46,0.02,1.71,6.6,115.2,108.5
Bol Bol,Den,C-F,22.26,13,6.2,12.9,17.6,12.4,3,0.667,23,0.609,4,0.25,0.574,0.583,2.5,1.5,13.8,0.4,9.3,0.08,0.15,0.31,7.4,110,108.4
Bones Hyland,Den,G,21.43,46,18,37.6,24,12.6,59,0.881,141,0.404,228,0.346,0.476,0.51,8.8,2.7,8.4,2,16.4,0.48,0.28,1.24,8,98.6,101.3
Brad Wanamaker,Was,G,32.57,1,27.1,56.5,10.4,0,3,1,5,0.4,0,0,0.4,0.554,7,4,8.1,7,34.3,2,0,0,8.6,147.2,100.8
Brad Wanamaker,Ind,G,32.57,22,13.3,27.7,15.4,22,22,0.909,55,0.4,17,0.235,0.389,0.465,3.5,1.6,6.6,2.2,21.9,0.23,0.27,1.05,6.9,96.3,103.8
Bradley Beal,Was,G,28.64,40,36,74.9,30.7,13.6,203,0.833,561,0.508,210,0.3,0.492,0.539,23.2,4.7,7.2,6.6,31.5,0.9,0.38,3.38,10,105.9,110.1
Brandon Boston Jr.,Lac,G,20.23,41,15.1,31.5,22.3,8.2,59,0.847,170,0.412,94,0.298,0.424,0.472,6.7,2.3,7.9,0.9,8.7,0.54,0.27,0.63,6.4,95.4,106.9
Brandon Clarke,Mem,F,25.41,45,19.3,40.1,18,6.1,89,0.697,296,0.676,19,0.211,0.654,0.669,10.5,5.5,14.9,1.4,11.3,0.56,1.07,0.51,9,139.1,102.7
Brandon Goodwin,Cle,G,26.38,16,15.9,33,19,16.5,14,0.5,53,0.396,32,0.375,0.459,0.466,5.3,2.4,8.2,3.1,27.8,1,0,1.13,8.6,100.5,99.2
Brandon Ingram,Nor,F,24.46,45,34.3,71.5,29.2,11.4,239,0.816,619,0.485,198,0.333,0.488,0.538,22.1,5.7,9.1,5.4,27.3,0.64,0.49,2.64,10.3,108.2,110
Brandon Knight,Dal,G,30.21,3,18.2,37.8,22.7,14.5,8,1,7,0.714,13,0.308,0.55,0.638,10,2.3,7.1,2.7,22.8,0.33,0,1.33,8.7,120.1,101.7
Brandon Williams,Por,G,22.24,2,5.9,12.3,22.4,0,7,0.571,3,0.667,0,0,0.667,0.658,4,1,9.2,1,26.3,0,0,0,10.8,146.8,119.5
Braxton Key,Phi,F,25.01,2,3.2,6.7,28.2,50,0,0,1,1,1,0,0.5,0.5,1,1,17.3,0.5,23.8,0.5,0,1,9.9,,
Brodric Thomas,Bos,G,25.06,8,5,10.3,17.6,25.2,2,1,4,0.5,7,0.143,0.318,0.379,1.1,0.8,8.1,0.6,17.1,0,0.13,0.5,6.5,80.2,98.9
Brook Lopez,Mil,C,33.88,1,28.2,58.8,13.7,0,0,0,5,0.2,4,0.5,0.444,0.444,8,5,9.3,0,0,1,3,0,0,104.5,102.5
Bruce Brown,Bro,G-F,25.51,50,21.3,44.3,13.5,9.6,57,0.737,235,0.515,41,0.317,0.509,0.536,6.5,4.3,10.9,1.3,8.5,1,0.54,0.64,6.2,113.9,102.7
Bruno Fernando,Hou,F-C,23.51,2,6.7,14,35.7,17.7,3,0.667,7,0.571,1,0,0.5,0.536,5,3,24.6,0,0,0,0,1,0,98,103.9
Bruno Fernando,Bos,F-C,23.51,20,2.9,6.1,16,23.6,5,0.8,13,0.462,1,1,0.536,0.586,1,0.8,13.7,0.2,9.9,0,0.15,0.25,7.5,,
Bryn Forbes,Den,G,28.58,15,20.1,41.8,21.6,6.8,15,0.933,68,0.471,63,0.429,0.553,0.578,10.6,1.1,3.1,1.1,8.6,0.2,0.07,0.67,4.7,110.2,108.5
Bryn Forbes,San,G,28.58,40,16.9,35.2,22,9.4,49,0.898,145,0.448,151,0.417,0.539,0.572,9.1,1.6,4.9,1,8.5,0.43,0.08,0.83,5.8,107,110.8
Buddy Hield,Ind,G,29.17,4,39.1,81.4,21.3,9.1,5,0.8,28,0.607,40,0.35,0.559,0.57,20,6,8.5,5,20,0.5,0.5,1.75,8.6,115.1,112
Buddy Hield,Sac,G,29.17,55,28.6,59.6,22.4,10.9,92,0.87,198,0.419,495,0.368,0.514,0.54,14.4,4,7.5,1.9,9.9,0.87,0.27,1.64,6.7,103.6,111.4
Cade Cunningham,Det,G,20.4,44,31.8,66.3,26.4,18.1,90,0.856,396,0.439,272,0.327,0.46,0.489,15.7,5.5,9.3,5.2,27.7,1.3,0.66,3.55,9.6,93,106.7
Caleb Martin,Mia,F,26.39,44,22.9,47.8,16.8,9.1,69,0.739,202,0.579,116,0.379,0.575,0.599,9.5,4,9.7,1,7,0.95,0.48,0.8,5.9,118.9,103.6
Cam Reddish,Atl,F-G,22.47,34,23.4,48.8,23.2,10.4,80,0.9,190,0.421,153,0.379,0.487,0.537,11.9,2.5,5.7,1.1,7,1.03,0.32,1.29,5.5,103.5,112.2
Cam Reddish,Nyk,F-G,22.47,9,11.6,24.2,20.7,12.2,21,0.952,18,0.444,16,0.188,0.368,0.52,5,0.9,4.1,0.4,5.7,0.78,0.22,0.67,4.2,102.7,109.7
Cam Thomas,Bro,G,20.35,48,19.6,40.7,22.3,8.2,78,0.808,261,0.544,150,0.273,0.495,0.528,9.8,2.6,7.2,1.3,9.9,0.54,0.15,0.83,6.6,103.9,111.2
Cameron Johnson,Pho,F,25.96,55,26,54.2,16.8,6.1,78,0.846,177,0.514,314,0.43,0.598,0.622,11.9,4.2,8.6,1.3,7,0.85,0.22,0.62,6.2,122.4,103.2
Cameron McGriff,Por,F,24.39,3,15.3,31.9,14.1,0,2,1,8,0.375,6,0.333,0.429,0.47,4.7,5,17.8,1,9.3,0,0.33,0,7.5,125.5,101.5
Cameron Oliver,Atl,F,20,2,21.7,45.1,16.5,0,3,0.667,12,0.75,3,0.333,0.7,0.705,11.5,3,7.6,1.5,11.1,0.5,0.5,0,6.9,149.6,106.6
Cameron Payne,Pho,G,27.53,40,20.4,42.5,26,14.5,66,0.864,257,0.44,134,0.336,0.462,0.498,10.5,2.8,7.2,3.6,25.1,0.58,0.3,1.78,9.3,99.6,101.1
Caris LeVert,Ind,G,27.49,39,31.1,64.8,27,9.9,146,0.76,433,0.501,189,0.323,0.496,0.53,18.7,3.8,6.8,4.4,23.3,0.9,0.46,1.92,8.7,108.5,110.8
Caris LeVert,Cle,G,27.49,4,31,64.5,23.4,9.1,4,0.75,44,0.432,14,0.286,0.431,0.443,13.3,1.5,2.6,3.8,18.9,1.5,0.25,1.5,5.5,93.4,105.9
Carlik Jones,Den,G,24.16,2,2,4.2,22,0,0,0,2,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,,
Carlik Jones,Dal,G,24.16,3,6.4,13.3,25.4,27.6,2,1,6,0,1,0,0,0.127,0.7,1,8.6,1.7,32.2,0.33,0,1,6.6,51.4,110.5
Carmelo Anthony,Lal,F,37.72,50,26.5,55.3,20.1,7.1,119,0.824,228,0.496,296,0.392,0.548,0.583,13.4,4.2,8.3,1,5.8,0.72,0.82,0.88,5.8,114.1,106.4
Cassius Stanley,Det,G,22.51,9,17.2,35.9,15.5,10.6,10,1,29,0.517,17,0.235,0.457,0.516,5.8,2.1,6.6,0.4,4,0.56,0.22,0.67,3.9,100.9,107
Cassius Winston,Was,G,23.97,4,5.8,12.1,15.1,12.7,2,1,1,1,5,0.4,0.667,0.727,2.5,0,0,1,24.7,0,0,0.25,0,140.1,102.9
Cat Barber,Atl,G,20,3,4.3,8.9,23.1,14.8,4,0,4,0,0,0,0,0,0,1,12.8,1,27.4,0,0,0.33,0,37.5,110.5
Cedi Osman,Cle,F,26.87,46,23,47.9,20.8,8.6,86,0.64,156,0.526,261,0.356,0.531,0.547,10.8,2.3,5.5,2,12.9,0.87,0.17,0.93,6.4,109.1,102.4
Chandler Hutchison,Pho,F-G,25.81,6,3.7,7.8,13.2,58.1,2,1,2,0.5,0,0,0.5,0.694,0.7,0.8,11.8,0.3,10.5,0,0,0.67,6,,
Charles Bassey,Phi,C-F,21.31,23,7.3,15.2,16.2,13.3,12,0.75,43,0.698,4,0,0.638,0.66,3,2.7,20.4,0.3,6.6,0.22,0.74,0.35,7.4,130.9,89.3
Charlie Brown Jr.,Phi,G,24.04,16,9.8,20.4,12.5,11.5,10,0.9,25,0.32,9,0.111,0.279,0.365,1.8,1.9,10.9,0.3,4.2,0.5,0.19,0.31,4.1,92.6,102.1
Charlie Brown Jr.,Dal,G,24.04,3,5.1,10.7,14.6,0,0,0,2,0.5,3,0,0.2,0.2,0.7,0.3,3.6,0.3,8.7,0.67,0.33,0,3.1,55.4,91.8
Chaundee Brown Jr.,Atl,G,23.21,3,27.7,57.7,14.6,0,6,0.833,10,0.3,15,0.4,0.48,0.525,9.7,4.7,9.2,1.3,6.4,0.67,0,0,5.6,117.4,108.3
Chaundee Brown Jr.,Lal,G,23.21,2,10.3,21.5,16.7,12.5,0,0,4,0.25,3,0,0.143,0.143,1,1,5.1,0,0,0,0,0.5,0,27.3,118.2
Cheick Diallo,Det,F-C,25.43,3,10.2,21.3,16.3,8.6,6,0.833,8,0.375,0,0,0.375,0.517,3.7,4,21.1,0,0,0.33,0,0.33,0,115,92.4
Chimezie Metu,Sac,F-C,24.91,42,22.2,46.2,18.3,10.5,66,0.773,185,0.557,143,0.28,0.497,0.528,9,5.9,14.2,1.1,7.3,0.83,0.57,1,7,103.1,108.2
Chris Boucher,Tor,F-C,29.1,55,20.2,42.2,18.2,6.8,144,0.771,229,0.576,148,0.284,0.517,0.569,9.1,5.9,15.9,0.3,2.4,0.65,1.04,0.58,5,122.2,101.1
Chris Chiozza,Gol,G,26.25,26,10.7,22.4,13.6,25.2,1,1,22,0.136,43,0.372,0.415,0.42,2.1,1.2,5.8,1.8,21.9,0.35,0,0.85,6.2,91.7,102.3
Chris Duarte,Ind,G,24.69,50,28.7,59.7,21.2,11.8,106,0.792,336,0.485,239,0.364,0.51,0.54,13.4,4.1,7.9,2.2,11.5,1.04,0.2,1.66,6.9,104.6,111.7
Chris Paul,Pho,G,36.79,58,33,68.8,19.9,15.6,185,0.843,485,0.546,182,0.33,0.532,0.579,14.9,4.5,7.2,10.7,44.3,1.86,0.31,2.38,10.9,122.9,102.4
Chris Silva,Mia,F,25.41,9,9.7,20.3,14.3,28.3,12,0.833,15,0.533,0,0,0.533,0.641,2.9,3.9,22.4,0.8,11.1,0,0.11,0.89,8.6,119.2,83.6
Chris Silva,Min,F,25.41,1,3.5,7.3,0,,0,0,0,0,0,0,,,0,1,15.1,0,0,0,0,0,0,,
Christian Wood,Hou,F,26.4,54,30.9,64.4,23.5,10.9,250,0.616,451,0.55,266,0.372,0.553,0.573,17.5,10.2,18.1,2.2,12.1,0.76,0.94,1.87,9.5,111,108.6
Chuma Okeke,Orl,F,23.51,49,23.9,49.8,16.4,8.8,43,0.837,152,0.493,234,0.308,0.474,0.496,8.2,4.7,10.4,1.6,9.8,1.45,0.57,0.8,6.6,100.6,108.1
CJ Elleby,Por,F-G,21.67,35,15.1,31.5,14.2,10.4,26,0.808,81,0.469,62,0.29,0.455,0.489,4.3,2.9,10.6,1.1,10.4,0.49,0.2,0.51,6.3,107.7,106
CJ McCollum,Nor,G,30.42,5,36.6,76.2,30.4,9.3,17,0.765,69,0.565,40,0.425,0.592,0.61,28.4,6,9,5.4,29.4,1.4,0,2.4,10.6,118.2,111.4
CJ McCollum,Por,G,30.42,36,35.2,73.3,26.3,9.2,68,0.706,376,0.476,289,0.384,0.52,0.532,20.5,4.3,6.6,4.5,21.9,0.97,0.58,1.94,8.3,107.6,112.7
CJ Miles,Bos,G,34.92,1,2,4.2,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Clint Capela,Atl,C,27.76,50,28,58.4,15.4,6.3,122,0.467,407,0.587,1,0,0.586,0.579,10.7,12.1,23.5,1.4,7.3,0.7,1.36,0.62,8.1,129.9,104.7
Coby White,Chi,G,22.01,39,28.2,58.8,20.4,9.6,75,0.84,198,0.515,232,0.401,0.562,0.59,14,3.1,6.1,2.8,14.3,0.51,0.26,1.26,7,114.4,108.3
Cody Martin,Cha,F,26.39,49,27.2,56.7,12.6,11.1,82,0.671,200,0.48,117,0.41,0.53,0.554,8,4.2,8.1,2.6,12.6,1.29,0.51,0.9,6.5,116.8,110.2
Cody Zeller,Por,F-C,29.37,27,13.1,27.4,16,14.6,49,0.776,86,0.593,4,0,0.567,0.627,5.2,4.6,19.2,0.8,9.3,0.3,0.22,0.7,8.2,129,98.9
Cole Anthony,Orl,G,21.76,46,33,68.7,26.1,14.5,186,0.855,402,0.443,297,0.337,0.469,0.522,17.7,5.8,9.4,5.9,29.5,0.83,0.28,2.87,10.3,102.7,107.7
Collin Sexton,Cle,G,23.12,11,28.8,59.9,27.7,15.6,39,0.744,106,0.538,45,0.244,0.487,0.523,16,3.3,6.2,2.1,11.9,0.91,0,2.82,6.7,95.9,103.4
Corey Kispert,Was,F,22.97,53,19.8,41.3,15.1,8.7,43,0.884,127,0.583,180,0.322,0.524,0.552,6.8,2.5,7,0.9,6.8,0.36,0.25,0.58,5,110.5,112.8
Cory Joseph,Det,G,30.5,47,24.4,50.9,14.7,17.2,80,0.85,181,0.464,111,0.432,0.534,0.581,8.1,2.5,5.5,3.9,24.3,0.68,0.26,1.45,7,113.6,109.8
Craig Sword,Was,G,28.09,3,6.3,13.2,11.7,20,0,0,3,1,1,0,0.75,0.75,2,0,0,0.3,7.9,1.33,0,0.33,0,115.5,68
D.J. Augustin,Hou,G,34.28,34,15,31.2,16.4,22.8,38,0.868,40,0.4,96,0.406,0.548,0.596,5.4,1.2,4.4,2.2,20.8,0.29,0,1.32,6.5,107,119.6
D.J. Wilson,Tor,F,26,3,15.9,33.1,15.7,11.5,10,0.8,9,0.889,2,0,0.727,0.779,8,4.7,16,1.3,12.7,1.67,0.33,0.67,9.2,147.2,94.2
Daishen Nix,Hou,G,20.01,8,8.4,17.4,19.2,29.7,3,0.333,13,0.769,7,0.429,0.725,0.704,3.8,1.3,8.2,1.3,24.6,0.88,0,1.13,8.9,104.3,111.5
Dakota Mathias,Mem,G,26.61,6,2.7,5.6,15.3,0,0,0,0,0,6,0.333,0.5,0.5,1,0.3,6.5,0.2,8.1,0.17,0,0,5.8,,
Dakota Mathias,Mem,G,26.61,6,2.7,5.6,15.3,0,0,0,0,0,6,0.333,0.5,0.5,1,0.3,6.5,0.2,8.1,0.17,0,0,5.8,,
Dalano Banton,Tor,F,22.28,47,11.8,24.6,17.6,20.2,34,0.618,124,0.468,43,0.256,0.446,0.467,3.6,2.2,10.2,1.6,19.1,0.49,0.17,0.98,7.9,96.3,103.1
Damian Jones,Sac,C,26.64,37,15.3,31.8,15.7,17.9,66,0.727,127,0.669,14,0.357,0.656,0.685,6.3,3.9,13.9,1.1,10.9,0.3,0.62,1,7.8,126.1,103.6
Damian Lillard,Por,G,31.6,29,36.4,75.9,29.5,11.6,181,0.878,268,0.485,284,0.324,0.486,0.55,24,4.1,6.2,7.3,33.3,0.59,0.38,2.86,9.8,112.8,116.2
Damion Lee,Gol,G-F,29.33,47,20.3,42.3,16,8.6,47,0.851,145,0.538,154,0.37,0.547,0.574,7.8,3.1,8.3,0.9,6.6,0.66,0.11,0.64,5.5,111.1,102.4
Damyean Dotson,Nyk,G,27.79,2,10.3,21.5,8.5,0,0,0,3,0.667,1,0,0.5,0.5,2,1,5.2,0.5,7.1,0,0,0,3.9,113.3,117.6
D'Angelo Russell,Min,G,25.99,45,32.2,67.1,25.9,12.7,162,0.802,329,0.474,385,0.351,0.502,0.539,18.8,3.5,5.7,7,33.6,0.91,0.47,2.53,9.6,111.3,110.2
Daniel Gafford,Was,F-C,23.38,49,20.4,42.6,15.8,12.7,88,0.75,272,0.673,0,0,0.673,0.695,8.8,6,16,1,7.6,0.39,1.53,0.92,7.4,134.5,102.4
Daniel Oturu,Tor,C,22.41,3,9.1,19,12.9,0,5,0.6,5,0.6,1,0,0.5,0.549,3,1.7,10,0,0,0,0.67,0,0,122.6,112.5
Daniel Theis,Hou,F-C,29.87,26,22.5,46.8,16.5,13.6,40,0.675,100,0.61,79,0.291,0.534,0.554,8.4,5,12.2,0.8,5.2,0.42,0.65,1.19,5.7,104.6,109
Daniel Theis,Bos,F-C,29.87,2,17.8,37.1,4.9,0,0,0,3,1,1,1,1.125,1.125,4.5,6,18,1,8,1,2,0,6.7,226.1,82.9
Danilo Gallinari,Atl,F,33.53,47,23.4,48.8,18.1,6.4,120,0.917,183,0.443,190,0.395,0.519,0.584,10.6,4.4,10.2,1.4,8.2,0.47,0.19,0.62,6.9,120,110.8
Danny Green,Phi,G,34.66,40,23,48,12.8,13.3,10,0.9,37,0.514,186,0.376,0.556,0.565,6.4,2.4,5.8,1,6.2,1,0.73,0.88,4.3,104.1,106.5
Danuel House Jr.,Uta,F-G,28.7,9,18.5,38.6,14.7,8.9,14,0.714,17,0.588,28,0.429,0.622,0.645,7.3,2.4,7.2,1.3,10,0.56,0.44,0.56,6.1,130,106.6
Danuel House Jr.,Hou,F-G,28.7,16,14.5,30.3,18.2,17.9,19,0.895,40,0.375,34,0.294,0.405,0.467,4.8,2.7,10.1,1.2,11.7,0.31,0.31,1.13,6.9,89.2,112.8
Danuel House Jr.,Nyk,F-G,28.7,1,3.4,7.1,12.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
DaQuan Jeffries,Mem,G-F,24.47,3,2.9,6.1,9.4,0,0,0,1,1,1,0,0.5,0.5,0.7,0.7,11.9,0.3,14.6,0,0,0,7.3,,
Darius Bazley,Okc,F-G,21.69,53,27.3,56.9,18,11.6,122,0.697,291,0.467,187,0.294,0.457,0.491,9.8,6.6,12.2,1.3,7.6,0.81,1.11,1.32,6.4,97.3,107.8
Darius Garland,Cle,G,22.06,47,34.6,72.1,26.9,17.8,112,0.911,446,0.547,320,0.378,0.555,0.584,20.3,3.3,5.2,8,38.3,1.19,0.11,3.74,9.4,110.6,106.2
Darren Collison,Lal,G,34.49,3,12.4,25.8,9.3,12.5,0,0,4,0.5,3,0,0.286,0.286,1.3,1.3,5.7,0.7,6.8,0.33,0,0.33,3.4,64.5,101.6
David Duke Jr.,Bro,G,22.35,19,16.4,34.2,15.8,7,19,0.842,63,0.429,35,0.257,0.413,0.456,5.1,3.4,11.2,0.8,6.5,0.63,0.37,0.42,5.9,107.1,104.6
David Johnson,Tor,G,20.98,2,1,2.1,21.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
David Nwaba,Hou,G-F,29.1,38,13.8,28.8,15.7,9.2,57,0.719,113,0.54,39,0.256,0.5,0.545,5.1,3.7,14.6,0.8,8.5,0.63,0.47,0.47,7.2,114.9,108.1
Davion Mitchell,Sac,G,23.46,53,26,54.1,19.9,10,43,0.558,327,0.462,230,0.326,0.473,0.478,10.4,2.4,4.9,3.5,19.7,0.72,0.32,1.21,6.8,100.9,112.7
Davis Bertans,Dal,F,29.27,2,15.4,32,22.6,0,1,1,1,1,14,0.286,0.467,0.486,7.5,2,7.2,1,10.1,0,0,0,6.4,108.3,99.4
Davis Bertans,Was,F,29.27,34,14.7,30.7,17.6,7.1,30,0.933,27,0.519,144,0.319,0.485,0.527,5.7,1.8,6.6,0.5,4.5,0.32,0.18,0.41,4.7,103.6,105.2
Davon Reed,Den,G,26.69,29,13.8,28.7,11.6,7.6,5,0.8,42,0.524,53,0.434,0.595,0.602,4,2.5,10.1,1,9.8,0.59,0.1,0.28,6.2,122.4,101.9
Day'Ron Sharpe,Bro,F,20.29,30,12.4,25.9,21.4,15.7,37,0.568,136,0.581,4,0.25,0.575,0.582,6.1,5.1,21.9,0.5,6.2,0.33,0.5,0.97,8.1,117.1,96.4
De'Aaron Fox,Sac,G,24.17,48,34.4,71.7,28.6,12.2,281,0.754,664,0.517,181,0.271,0.493,0.539,21.8,3.9,6.1,5.1,24.8,1.15,0.4,2.81,8.8,105.9,110.3
Dean Wade,Cle,F-C,25.25,43,19.3,40.3,11.3,7.5,27,0.63,61,0.639,125,0.376,0.589,0.596,5.5,3.1,8.8,1.2,8.3,0.58,0.12,0.37,5.7,123.1,100.8
Deandre Ayton,Pho,C,23.58,37,29.1,60.6,21,11.3,103,0.728,411,0.642,9,0.222,0.636,0.654,16.5,10.3,18.7,1.4,7.6,0.76,0.76,1.59,8.5,124.1,98.5
DeAndre' Bembry,Bro,G-F,27.63,48,19.8,41.2,11.7,11.6,35,0.6,177,0.599,36,0.417,0.603,0.609,5.8,3.2,8.6,1.3,8.6,0.98,0.52,0.63,5.8,119.6,103.3
De'Andre Hunter,Atl,F-G,24.21,30,29.1,60.6,20.1,10.2,82,0.72,214,0.481,110,0.382,0.512,0.543,13,3.4,6.4,1.2,5.8,0.63,0.37,1.37,5.2,103.2,107.9
DeAndre Jordan,Lal,C,33.58,31,12.9,26.8,12.8,16.8,25,0.48,88,0.67,0,0,0.67,0.657,4.2,5.5,22.4,0.4,4.6,0.32,0.81,0.65,6.5,125.1,96.8
De'Anthony Melton,Mem,G,23.73,51,22.7,47.2,20.8,12.4,80,0.713,236,0.432,239,0.343,0.474,0.497,9.9,4.5,10.4,2.7,16.1,1.63,0.55,1.41,8.7,104,102.9
Deividas Sirvydis,Det,F-G,21.69,3,8.9,18.5,16.1,0,0,0,3,0,7,0.143,0.15,0.15,1,2,12.1,0.3,5.1,1,0.33,0,3.8,40.4,93.5
DeJon Jarreau,Ind,G,24.07,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Dejounte Murray,San,G,25.41,52,34.4,71.7,26.6,11.1,149,0.758,722,0.5,210,0.319,0.495,0.519,19.9,8.3,12.6,9.3,41.1,2.04,0.33,2.4,13.4,112.3,105.6
Delon Wright,Atl,G,29.81,53,18.2,37.8,10.9,13.7,40,0.825,113,0.487,77,0.377,0.518,0.554,4.3,2.9,8.7,2.5,17.7,1.04,0.19,0.62,6.9,122,111.8
DeMar DeRozan,Chi,G-F,32.54,55,35.6,74.3,31.8,9.1,440,0.866,995,0.535,99,0.343,0.533,0.601,28.1,5.2,8.1,5.1,24.6,0.85,0.31,2.35,10.2,119.9,109.5
DeMarcus Cousins,Mil,C,31.52,17,16.9,35.1,22.5,10.6,38,0.816,70,0.6,48,0.271,0.521,0.572,9.1,5.8,18,1.1,9.5,0.94,0.47,0.94,9.2,115.5,91.2
DeMarcus Cousins,Den,C,31.52,8,13.1,27.4,32.6,23.1,20,0.7,33,0.303,18,0.278,0.343,0.41,6.1,6.3,26.4,1.1,12.1,0.63,0.25,2.25,10.6,82,83.6
Deni Avdija,Was,F,21.13,58,23.4,48.8,15.1,10.6,90,0.767,206,0.549,166,0.307,0.509,0.544,7.7,5.1,11.9,1.7,10,0.78,0.59,0.84,6.9,108.9,103.4
Dennis Schroder,Bos,G,28.43,49,29.2,60.9,23.1,13.8,145,0.848,392,0.485,192,0.349,0.497,0.543,14.4,3.3,6.1,4.2,22.8,0.84,0.1,2.12,8,107.6,102.5
Dennis Schroder,Hou,G,28.43,3,28.9,60.1,23.6,22.7,10,0.9,21,0.429,12,0.25,0.409,0.481,12,4,7.6,7.7,39.9,1.33,0.33,3.67,9.9,99.3,109.4
Dennis Smith Jr.,Por,G,24.23,37,17.3,36,18.3,19,64,0.656,162,0.451,27,0.222,0.434,0.474,5.6,2.4,7.5,3.6,30,1.22,0.32,1.38,8.4,102,107.1
Denzel Valentine,Cle,G,28.26,22,9.3,19.3,15.6,13.9,0,0,18,0.278,44,0.409,0.516,0.516,2.9,1.7,10.2,0.5,7.6,0.32,0,0.45,5.8,100,100.6
Denzel Valentine,Uta,G,28.26,2,9.3,19.3,14.1,33.3,0,0,1,1,3,0.333,0.625,0.625,2.5,2,11.7,0,0,0.5,0,1,0,75,91.7
Derrick Favors,Okc,F,30.6,38,16.7,34.8,13.4,4.6,23,0.609,162,0.556,16,0.125,0.522,0.532,5.3,4.8,14.5,0.6,6,0.39,0.32,0.24,5.9,118.2,101.6
Derrick Jones Jr.,Chi,F,25.01,34,17.5,36.4,13.1,10.1,49,0.816,98,0.612,40,0.4,0.609,0.652,6.1,3.4,10.9,0.6,4.3,0.47,0.68,0.53,5.3,131.3,101.1
